key,scene,variant,spp,warmup,averaging,rays_traced_pct,coldmiss_pct,timestamp
CornellBox_3AreaLights_s_1_1_x16_512x512_pos_norm1__dir_dist,CornellBox_3AreaLights,pos_norm1__dir_dist,16,1,1,30.3304,0.4415,2026-03-28T00:16:38
CornellBox_32PointLights_s_1_1_x1_512x512_pos_norm1__pos1,CornellBox_32PointLights,pos_norm1__pos1,1,1,1,68.8534,0.1474,2026-03-28T00:16:58
CornellBox_32PointLights_s_1_1_x16_512x512_pos_norm1__pos1,CornellBox_32PointLights,pos_norm1__pos1,16,1,1,75.4543,0.1182,2026-03-28T00:17:06
CornellBox_32PointLights_s_1_1_x1_512x512_pos_norm1__dir1_dist1,CornellBox_32PointLights,pos_norm1__dir1_dist1,1,1,1,68.7325,0.1501,2026-03-28T00:17:16
CornellBox_32PointLights_s_1_1_x16_512x512_pos_norm1__dir1_dist1,CornellBox_32PointLights,pos_norm1__dir1_dist1,16,1,1,75.4795,0.1101,2026-03-28T00:17:24
CornellBox_32PointLights_s_1_1_x1_512x512_pos_norm1__pos,CornellBox_32PointLights,pos_norm1__pos,1,1,1,70.1855,26.8146,2026-03-28T00:17:33
CornellBox_32PointLights_s_1_1_x16_512x512_pos_norm1__pos,CornellBox_32PointLights,pos_norm1__pos,16,1,1,30.5426,0.2240,2026-03-28T00:17:44
CornellBox_32PointLights_s_1_1_x1_512x512_pos_norm1__dir_dist1,CornellBox_32PointLights,pos_norm1__dir_dist1,1,1,1,69.7014,27.3694,2026-03-28T00:17:57
CornellBox_32PointLights_s_1_1_x16_512x512_pos_norm1__dir_dist1,CornellBox_32PointLights,pos_norm1__dir_dist1,16,1,1,37.7106,0.7735,2026-03-28T00:18:07
CornellBox_32PointLights_s_1_1_x1_512x512_pos_norm1__dir_dist,CornellBox_32PointLights,pos_norm1__dir_dist,1,1,1,70.3033,33.9073,2026-03-28T00:18:16
CornellBox_32PointLights_s_1_1_x16_512x512_pos_norm1__dir_dist,CornellBox_32PointLights,pos_norm1__dir_dist,16,1,1,35.7280,1.0939,2026-03-28T00:18:26
