key,scene,variant,spp,warmup,averaging,rays_traced_pct,coldmiss_pct,timestamp
CornellBox_1PointLight_s_1_1_x16_512x512_pos_norm1__pos,CornellBox_1PointLight,pos_norm1__pos,16,1,1,13.0920,0.1351,2026-03-28T00:21:40
CornellBox_1PointLight_s_1_1_x1_512x512_pos_norm1__dir_dist1,CornellBox_1PointLight,pos_norm1__dir_dist1,1,1,1,21.8220,0.3003,2026-03-28T00:21:47
CornellBox_1PointLight_s_1_1_x16_512x512_pos_norm1__dir_dist1,CornellBox_1PointLight,pos_norm1__dir_dist1,16,1,1,13.3717,0.2789,2026-03-28T00:21:55
CornellBox_1PointLight_s_1_1_x1_512x512_pos_norm1__dir_dist,CornellBox_1PointLight,pos_norm1__dir_dist,1,1,1,22.2729,0.3200,2026-03-28T00:22:05
CornellBox_1PointLight_s_1_1_x16_512x512_pos_norm1__dir_dist,CornellBox_1PointLight,pos_norm1__dir_dist,16,1,1,13.4337,0.3032,2026-03-28T00:22:15
CornellBox_1PointLight_s_1_1_x1_512x512_pos_norm__pos,CornellBox_1PointLight,pos_norm__pos,1,1,1,19.3352,0.1496,2026-03-28T00:22:23
CornellBox_1PointLight_s_1_1_x16_512x512_pos_norm__pos,CornellBox_1PointLight,pos_norm__pos,16,1,1,13.0869,0.1409,2026-03-28T00:22:31
CornellBox_1PointLight_s_1_1_x1_512x512_pos_norm__dir_dist1,CornellBox_1PointLight,pos_norm__dir_dist1,1,1,1,22.0028,0.2997,2026-03-28T00:22:39
CornellBox_1PointLight_s_1_1_x16_512x512_pos_norm__dir_dist1,CornellBox_1PointLight,pos_norm__dir_dist1,16,1,1,13.3641,0.2916,2026-03-28T00:22:47
CornellBox_1PointLight_s_1_1_x1_512x512_pos_norm__dir_dist,CornellBox_1PointLight,pos_norm__dir_dist,1,1,1,22.5239,0.3235,2026-03-28T00:22:56
CornellBox_1PointLight_s_1_1_x16_512x512_pos_norm__dir_dist,CornellBox_1PointLight,pos_norm__dir_dist,16,1,1,13.4784,0.3154,2026-03-28T00:23:05
CornellBox_3AreaLights_s_1_1_x1_512x512_pos_norm1__pos,CornellBox_3AreaLights,pos_norm1__pos,1,1,1,45.5956,12.1889,2026-03-28T00:23:21
CornellBox_3AreaLights_s_1_1_x16_512x512_pos_norm1__pos,CornellBox_3AreaLights,pos_norm1__pos,16,1,1,30.4718,0.3900,2026-03-28T00:23:38
CornellBox_3AreaLights_s_1_1_x1_512x512_pos_norm1__dir_dist1,CornellBox_3AreaLights,pos_norm1__dir_dist1,1,1,1,41.9304,6.0283,2026-03-28T00:23:56
CornellBox_3AreaLights_s_1_1_x16_512x512_pos_norm1__dir_dist1,CornellBox_3AreaLights,pos_norm1__dir_dist1,16,1,1,29.8501,0.3512,2026-03-28T00:24:15
CornellBox_3AreaLights_s_1_1_x1_512x512_pos_norm1__dir_dist,CornellBox_3AreaLights,pos_norm1__dir_dist,1,1,1,43.3640,7.8208,2026-03-28T00:24:33
CornellBox_3AreaLights_s_1_1_x16_512x512_pos_norm1__dir_dist,CornellBox_3AreaLights,pos_norm1__dir_dist,16,1,1,30.3167,0.4396,2026-03-28T00:24:51
CornellBox_3AreaLights_s_1_1_x1_512x512_pos_norm__pos,CornellBox_3AreaLights,pos_norm__pos,1,1,1,45.6387,12.3897,2026-03-28T00:25:09
CornellBox_3AreaLights_s_1_1_x16_512x512_pos_norm__pos,CornellBox_3AreaLights,pos_norm__pos,16,1,1,30.5296,0.4289,2026-03-28T00:25:27
CornellBox_3AreaLights_s_1_1_x1_512x512_pos_norm__dir_dist1,CornellBox_3AreaLights,pos_norm__dir_dist1,1,1,1,40.9252,6.2270,2026-03-28T00:25:45
CornellBox_3AreaLights_s_1_1_x16_512x512_pos_norm__dir_dist1,CornellBox_3AreaLights,pos_norm__dir_dist1,16,1,1,29.8942,0.3590,2026-03-28T00:26:03
CornellBox_3AreaLights_s_1_1_x1_512x512_pos_norm__dir_dist,CornellBox_3AreaLights,pos_norm__dir_dist,1,1,1,43.0138,8.0127,2026-03-28T00:26:17
CornellBox_3AreaLights_s_1_1_x16_512x512_pos_norm__dir_dist,CornellBox_3AreaLights,pos_norm__dir_dist,16,1,1,30.3663,0.4512,2026-03-28T00:26:31
CornellBox_32PointLights_s_1_1_x1_512x512_pos_norm1__pos,CornellBox_32PointLights,pos_norm1__pos,1,1,1,70.1614,26.8248,2026-03-28T00:26:40
CornellBox_32PointLights_s_1_1_x16_512x512_pos_norm1__pos,CornellBox_32PointLights,pos_norm1__pos,16,1,1,30.5511,0.2235,2026-03-28T00:26:50
CornellBox_32PointLights_s_1_1_x1_512x512_pos_norm1__dir_dist1,CornellBox_32PointLights,pos_norm1__dir_dist1,1,1,1,69.6056,27.3828,2026-03-28T00:26:59
CornellBox_32PointLights_s_1_1_x16_512x512_pos_norm1__dir_dist1,CornellBox_32PointLights,pos_norm1__dir_dist1,16,1,1,37.7327,0.7797,2026-03-28T00:27:11
CornellBox_32PointLights_s_1_1_x1_512x512_pos_norm1__dir_dist,CornellBox_32PointLights,pos_norm1__dir_dist,1,1,1,70.3091,33.8508,2026-03-28T00:27:20
CornellBox_32PointLights_s_1_1_x16_512x512_pos_norm1__dir_dist,CornellBox_32PointLights,pos_norm1__dir_dist,16,1,1,35.7064,1.0886,2026-03-28T00:27:31
CornellBox_32PointLights_s_1_1_x1_512x512_pos_norm__pos,CornellBox_32PointLights,pos_norm__pos,1,1,1,70.2106,27.3070,2026-03-28T00:27:42
CornellBox_32PointLights_s_1_1_x16_512x512_pos_norm__pos,CornellBox_32PointLights,pos_norm__pos,16,1,1,30.6855,0.2757,2026-03-28T00:27:53
CornellBox_32PointLights_s_1_1_x1_512x512_pos_norm__dir_dist1,CornellBox_32PointLights,pos_norm__dir_dist1,1,1,1,69.6632,27.8429,2026-03-28T00:28:04
CornellBox_32PointLights_s_1_1_x16_512x512_pos_norm__dir_dist1,CornellBox_32PointLights,pos_norm__dir_dist1,16,1,1,37.8446,0.8300,2026-03-28T00:28:14
CornellBox_32PointLights_s_1_1_x1_512x512_pos_norm__dir_dist,CornellBox_32PointLights,pos_norm__dir_dist,1,1,1,70.3194,34.3781,2026-03-28T00:28:24
CornellBox_32PointLights_s_1_1_x16_512x512_pos_norm__dir_dist,CornellBox_32PointLights,pos_norm__dir_dist,16,1,1,35.8589,1.1622,2026-03-28T00:28:33
