key,scene,variant,spp,warmup,averaging,rays_traced_pct,coldmiss_pct,timestamp
CornellBox_1AreaLight_s_1_1_x1_512x512_pos_norm1__pos,CornellBox_1AreaLight,pos_norm1__pos,1,1,1,44.3573,3.8825,2026-03-28T00:18:47
CornellBox_1AreaLight_s_1_1_x16_512x512_pos_norm1__pos,CornellBox_1AreaLight,pos_norm1__pos,16,1,1,19.4428,0.1898,2026-03-28T00:19:04
CornellBox_1AreaLight_s_1_1_x1_512x512_pos_norm1__dir_dist1,CornellBox_1AreaLight,pos_norm1__dir_dist1,1,1,1,35.0060,3.9524,2026-03-28T00:19:23
CornellBox_1AreaLight_s_1_1_x16_512x512_pos_norm1__dir_dist1,CornellBox_1AreaLight,pos_norm1__dir_dist1,16,1,1,21.0382,0.3012,2026-03-28T00:19:42
CornellBox_1AreaLight_s_1_1_x1_512x512_pos_norm1__dir_dist,CornellBox_1AreaLight,pos_norm1__dir_dist,1,1,1,38.2591,5.6661,2026-03-28T00:19:57
CornellBox_1AreaLight_s_1_1_x16_512x512_pos_norm1__dir_dist,CornellBox_1AreaLight,pos_norm1__dir_dist,16,1,1,21.5547,0.3783,2026-03-28T00:20:09
CornellBox_1AreaLight_s_1_1_x1_512x512_pos_norm__pos,CornellBox_1AreaLight,pos_norm__pos,1,1,1,44.4702,4.1353,2026-03-28T00:20:21
CornellBox_1AreaLight_s_1_1_x16_512x512_pos_norm__pos,CornellBox_1AreaLight,pos_norm__pos,16,1,1,19.4487,0.1924,2026-03-28T00:20:33
CornellBox_1AreaLight_s_1_1_x1_512x512_pos_norm__dir_dist1,CornellBox_1AreaLight,pos_norm__dir_dist1,1,1,1,35.5988,4.0525,2026-03-28T00:20:49
CornellBox_1AreaLight_s_1_1_x16_512x512_pos_norm__dir_dist1,CornellBox_1AreaLight,pos_norm__dir_dist1,16,1,1,20.9937,0.3111,2026-03-28T00:21:01
CornellBox_1AreaLight_s_1_1_x1_512x512_pos_norm__dir_dist,CornellBox_1AreaLight,pos_norm__dir_dist,1,1,1,38.3316,5.8346,2026-03-28T00:21:13
CornellBox_1AreaLight_s_1_1_x16_512x512_pos_norm__dir_dist,CornellBox_1AreaLight,pos_norm__dir_dist,16,1,1,21.5197,0.3934,2026-03-28T00:21:25
CornellBox_1PointLight_s_1_1_x1_512x512_pos_norm1__pos,CornellBox_1PointLight,pos_norm1__pos,1,1,1,19.4721,0.1490,2026-03-28T00:21:32
